"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"764","N3KLAA","235","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"1109","N3FUAA","84","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"1594","N913US","413","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"1678","N117UW","2069","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"3365","N3KYAA","330","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"4544","N971AT","2674","0","0","JFK","BOS","103","2018","8","18","FLIGHT_2018"
"4923","N947UW","2146","0","0","JFK","BOS","10","2018","11","13","FLIGHT_2018"
"1246","N3ATAA","199","0","0","JFK","BOS","105","2017","1","1","FLIGHT_2017"
"1852","N919US","1737","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"2496","N920US","1831","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"3300","N118US","1972","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"4686","N713EV","5069","0","0","JFK","BHM","103","2018","7","19","FLIGHT_2018"
"1240","N3EBAA","330","0","0","JFK","CLT","10","2017","1","1","FLIGHT_2017"
"3463","N785AA","391","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"1680","N751UW","1715","0","0","JFK","CLT","107","2017","1","1","FLIGHT_2017"
"1390","N804AW","1849","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"1838","N710UW","1770","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"4136","N974AT","2676","0","0","JFK","BOS","103","2018","4","13","FLIGHT_2018"
"3581","N947UW","2162","0","0","JFK","BOS","106","2018","1","29","FLIGHT_2018"
"3796","N713EV","5074","0","0","JFK","BHM","108","2018","4","3","FLIGHT_2018"
"402","N3EUAA","193","0","0","JFK","BOS","108","2017","1","1","FLIGHT_2017"
"857","N3EMAA","1096","1","0","JFK","BOS","101","2017","1","1","FLIGHT_2017"
"1033","N741UW","2063","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"2266","N3DUAA","1443","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"3286","N789AA","199","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"4978","N899AT","2674","0","0","JFK","BOS","10","2018","11","29","FLIGHT_2018"
"5083","N3HSAA","84","1","0","JFK","BOS","10","2017","2","2","FLYU_FLIGHTS"
"2800","N711UW","852","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"4081","N910AT","2690","0","0","JFK","BOS","102","2018","5","13","FLIGHT_2018"
"2558","N754UW","1842","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"2098","N3FWAA","235","0","0","JFK","BOS","108","2017","1","1","FLIGHT_2017"
"2134","N523UW","604","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"365","N3KUAA","1653","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"3217","N787AA","144","0","0","JFK","BOS","106","2017","1","1","FLIGHT_2017"
"4716","N947UW","2141","0","0","JFK","BOS","100","2018","7","29","FLIGHT_2018"
"2609","N752US","1766","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"2647","N835AW","1715","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"1756","N198UW","879","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"2214","N808AW","1842","0","0","JFK","CLT","103","2017","1","1","FLIGHT_2017"
"3370","N3FKAA","2580","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"572","N3ATAA","2314","0","0","JFK","BOS","102","2017","1","1","FLIGHT_2017"
"3484","N838AW","1986","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
